Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Tuned Logistic Regression,0.8048261178140526,0.6551724137931034,0.5588235294117647,0.6031746031746031,0.841277222351391
Tuned Random Forest,0.8069552874378992,0.6770833333333334,0.5213903743315508,0.5891238670694864,0.8419036916479371
Tuned XGBoost,0.8041163946061036,0.6689655172413793,0.5187165775401069,0.5843373493975904,0.8464375209899506
